,mpg,cylinders,horsepower,weight
53,31.0,4,65,1773
54,35.0,4,69,1613
129,31.0,4,67,1950
131,32.0,4,65,1836
144,31.0,4,52,1649
145,32.0,4,61,2003
151,31.0,4,67,2000
181,33.0,4,53,1795
198,33.0,4,53,1795
204,32.0,4,70,1990
216,31.5,4,68,2045
218,36.0,4,58,1825
220,33.5,4,70,1945
237,30.5,4,63,2051
238,33.5,4,83,2075
240,30.5,4,78,2190
244,43.1,4,48,1985
245,36.1,4,66,1800
246,32.8,4,52,1985
247,39.4,4,70,2070
248,36.1,4,60,1800
269,30.9,4,75,2230
278,31.5,4,71,1990
293,31.9,4,71,1925
294,34.1,4,65,1975
295,35.7,4,80,1915
301,34.2,4,70,2200
302,34.5,4,70,2150
303,31.8,4,65,2020
304,37.3,4,69,2130
308,33.5,4,90,2556
309,41.5,4,76,2144
310,38.1,4,60,1968
311,32.1,4,70,2120
312,37.2,4,65,2019
317,34.3,4,78,2188
319,31.3,4,75,2542
320,37.0,4,92,2434
321,32.2,4,75,2265
322,46.6,4,65,2110
324,40.8,4,65,2110
325,44.3,4,48,2085
326,43.4,4,48,2335
327,36.4,5,67,2950
329,44.6,4,67,1850
330,40.9,4,93,1835
331,33.8,4,67,2145
333,32.7,6,132,2910
335,35.0,4,88,2500
337,32.4,4,72,2290
343,39.1,4,58,1755
344,39.0,4,64,1875
345,35.1,4,60,1760
346,32.3,4,67,2065
347,37.0,4,65,1975
348,37.7,4,62,2050
349,34.1,4,68,1985
350,34.7,4,63,2215
351,34.4,4,65,2045
353,33.0,4,74,2190
354,34.5,4,93,2320
355,33.7,4,75,2210
356,32.4,4,75,2350
357,32.9,4,100,2615
358,31.6,4,74,2635
360,30.7,6,76,3160
369,34.0,4,88,2395
370,31.0,4,85,2575
375,36.0,4,74,1980
376,37.0,4,68,2025
377,31.0,4,68,1970
378,38.0,4,63,2125
379,36.0,4,70,2125
380,36.0,4,88,2160
381,36.0,4,75,2205
382,34.0,4,70,2245
383,38.0,4,67,1965
384,32.0,4,67,1965
385,38.0,4,67,1995
387,38.0,6,85,3015
390,32.0,4,96,2665
391,36.0,4,84,2370
394,44.0,4,52,2130
395,32.0,4,84,2295
397,31.0,4,82,2720
